"tax_id","org_name","X16S.accession","doubling_h","d1_lo","d1_up","d2_lo","reference","ref_type","isolation_source"
59919,"Prochlorococcus marinus subsp. pastoris str. CCMP1986","AF001466",26.61,0.537,0.73,NA,"Moore, L. R., R. Goericke, and S. W. Chisholm. 1995. Comparative phsysiology of Synechococcus and Prochlorococcus: Influence of light and temperature on growth, pigments, fluorescence and absorptive properties. Mar. Ecol. Prog. Ser. 116: 259-275.","full_text","seawater"
167539,"Prochlorococcus marinus subsp. marinus str. CCMP1375","AF397701",28.35,0.568,0.7,NA,"Moore, L. R., R. Goericke, and S. W. Chisholm. 1995. Comparative phsysiology of Synechococcus and Prochlorococcus: Influence of light and temperature on growth, pigments, fluorescence and absorptive properties. Mar. Ecol. Prog. Ser. 116: 259-275.","full_text","seawater"
84588,"Synechococcus sp. WH 8102","AF397712",16.63,1.17,NA,NA,"Moore, L. R., R. Goericke, and S. W. Chisholm. 1995. Comparative phsysiology of Synechococcus and Prochlorococcus: Influence of light and temperature on growth, pigments, fluorescence and absorptive properties. Mar. Ecol. Prog. Ser. 116: 259-275.","full_text","seawater"
74545,"Prochlorococcus marinus str. MIT 9302","AF053396",21.6,NA,NA,NA,"Moore and Chisholm. 1999. Photophysiology of the marine cyanobacterium Prochlorococcus: Ecotypic differences among cultured isolates. Limnol. Oceanogr. 44: 628-638.","full_text","seawater"
74546,"Prochlorococcus marinus str. MIT 9312","AF053398",21.32,NA,NA,NA,"Moore and Chisholm. 1999. Photophysiology of the marine cyanobacterium Prochlorococcus: Ecotypic differences among cultured isolates. Limnol. Oceanogr. 44: 628-638.","full_text","seawater"
93057,"Prochlorococcus marinus str. MIT 9201","AF115268",20.67,NA,NA,NA,"Moore and Chisholm. 1999. Photophysiology of the marine cyanobacterium Prochlorococcus: Ecotypic differences among cultured isolates. Limnol. Oceanogr. 44: 628-638.","full_text","seawater"
59922,"Prochlorococcus marinus str. MIT 9303","AF053397",31.65,NA,NA,NA,"Moore and Chisholm. 1999. Photophysiology of the marine cyanobacterium Prochlorococcus: Ecotypic differences among cultured isolates. Limnol. Oceanogr. 44: 628-638.","full_text","seawater"
93059,"Prochlorococcus marinus str. MIT 9211","AF115270",26.12,NA,NA,NA,"Moore and Chisholm. 1999. Photophysiology of the marine cyanobacterium Prochlorococcus: Ecotypic differences among cultured isolates. Limnol. Oceanogr. 44: 628-638.","full_text","seawater"
74547,"Prochlorococcus marinus str. MIT 9313","AF053399",30.52,0.7,NA,1.6,"Moore and Chisholm. 1999. Photophysiology of the marine cyanobacterium Prochlorococcus: Ecotypic differences among cultured isolates. Limnol. Oceanogr. 44: 628-638.","full_text","seawater"
93058,"Prochlorococcus marinus str. MIT 9202","AF115269",19.67,NA,NA,NA,"Moore and Chisholm. 1999. Photophysiology of the marine cyanobacterium Prochlorococcus: Ecotypic differences among cultured isolates. Limnol. Oceanogr. 44: 628-638.","full_text","seawater"
93060,"Prochlorococcus marinus str. MIT 9215","AF115271",21.54,NA,NA,NA,"Moore and Chisholm. 1999. Photophysiology of the marine cyanobacterium Prochlorococcus: Ecotypic differences among cultured isolates. Limnol. Oceanogr. 44: 628-638.","full_text","seawater"
59920,"Prochlorococcus marinus str. NATL2A","AF001467",28.66,NA,NA,NA,"Zinser, E. R., Johnson, Z, I., Coe, A., Karaca, E., Veneziano, D., and S. W. Chisholm. 2007. Influence of light and temperature on Prochlorococcus ecotope distributions in the Atlantic Ocean. Limnol. Oceanogr. 53: 2205-2220.","full_text","seawater"
1140,"Synechococcus elongatus PCC 7942","AF132930",4.9,1,1.2,2,"Yu et al. Synechococcus elongatus UTEX 2973, a fast growing cyanobacterial chassis for biosynthesis using light and CO₂. Sci Rep. 2015; 5: 8132.","full_text","seawater"
1350461,"Synechococcus sp. UTEX 2973","CP006471",2.1,NA,NA,2,"Yu et al. Synechococcus elongatus UTEX 2973, a fast growing cyanobacterial chassis for biosynthesis using light and CO₂. Sci Rep. 2015; 5: 8132.","full_text","seawater"
1148,"Synechocystis sp. PCC 6803","AY224195",6.6,1.34,1.69,NA,"Yu et al. Synechococcus elongatus UTEX 2973, a fast growing cyanobacterial chassis for biosynthesis using light and CO₂. Sci Rep. 2015; 5: 8132.","full_text","seawater"
269084,"Synechococcus elongatus PCC 6301","NR_074309",5.4,1,1.2,NA,"Yu et al. Synechococcus elongatus UTEX 2973, a fast growing cyanobacterial chassis for biosynthesis using light and CO₂. Sci Rep. 2015; 5: 8132.","full_text","seawater"
326332,"Synechococcus sp. CCMP839","AY946244",24.68,1.5,NA,NA,"Timmermans, K. R.; van der Wagt, B.; Veldhuis, M. J. W.; Maatman, A.; de Baar, H. J. W. 2005 Journal of Sea Research, v. 53, iss. 1-2 [SPECIAL ISSUE], p. 109-120.","full_text","seawater"
32051,"Synechococcus sp. WH 7803","AF311291",14.46,1.074,NA,NA,"Kana and Glibert 1987 Deep Sea Research Part A. Oceanographic Research Papers
Volume 34, Issue 4, April 1987, Pages 479-495","full_text","seawater"
166313,"Synechococcus sp. WH 8012","AF539812",16.31,0.87,NA,NA,"Lisa Campbell & Edward J. Carpenter  Mar. Ecol. Prog. Ser 32: 139-148, 1986","full_text","seawater"
32049,"Synechococcus sp. PCC 7002","AJ000716",3.8,NA,NA,NA,"Berstein et al Front Microbiol. 2014; 5: 488.
Published online 2014 Sep 19. doi:  10.3389/fmicb.2014.00488","full_text","seawater"
166310,"Synechococcus sp. WH 6501","AF397706",30.24,0.5,1,NA,"Glover et al  Journal of Plankton Research, Volume 29, Issue 3, 1 January 2007, Pages 263–274, https://doi.org/10.1093/plankt/fbm013
","full_text","seawater"
